FID,Metro_Buff,CBG_id,Num_Metro,Bus_Buff,Num_Bus,Centroid_X,Centroid_Y,BlockGroup,BikeLength
1167,1,360610190001,1,1,5,189.157567750000000,43.836659793000003,0.040081263747700,1.277732157990000
1168,1,360610220002,0,1,2,189.048762415999990,44.015722988999997,0.016895126991400,1.277732157990000
1169,1,360610220004,0,1,2,188.880016608000010,44.103107022499998,0.012334272882100,1.277732157990000
1170,1,360610220003,0,1,1,188.935471282000010,44.107947305800003,0.005788184154850,0.349485227189000
1171,1,360610200001,0,1,2,189.214003950000010,43.971747166199997,0.014548176293900,0.349485227189000
1172,1,360610220002,0,1,2,189.048762415999990,44.015722988999997,0.016895126991400,0.349485227189000
1173,0,360610192003,0,1,1,190.048147903999990,43.581694860399999,0.009514665730790,0.884388970292000
1174,0,360610192001,0,1,1,190.081225152999990,43.675317947300002,0.041064485113800,0.884388970292000
1175,0,360610192002,0,1,2,189.982858185999990,43.652449171400001,0.017222827496900,0.884388970292000
1176,1,360610194003,0,1,1,189.738733004000010,43.747153294400000,0.013640272527400,0.884388970292000
1177,1,360610194001,0,1,0,189.881881937999990,43.720970866099996,0.026428857490200,0.884388970292000
1178,1,360610196002,0,1,0,189.585570117000000,43.791980937300004,0.023949670172800,0.884388970292000
1179,1,360610198001,0,1,14,189.484160675999990,43.989213413800002,0.049768629868000,0.884388970292000
1180,1,360610198002,0,1,0,189.364927958000010,44.010566844200000,0.037289521408800,0.884388970292000
1181,1,360610054002,0,1,0,186.699826690000010,39.400814872399998,0.009744429013370,1.629971252960000
1182,1,360610063001,1,1,3,186.636142761000000,39.285495508700002,0.020281229845500,1.629971252960000
1183,1,360610076002,1,1,5,187.028516848000010,39.994248329500003,0.028279071217600,1.629971252960000
1184,1,360610101001,3,1,12,186.854854410000000,40.231857063600003,0.067775056526100,1.629971252960000
1185,1,360610109001,1,1,7,186.951418506000010,40.405638643099998,0.067893699342100,1.629971252960000
1186,1,360610113001,4,1,10,187.047438218999990,40.579927195800003,0.067799306654800,1.629971252960000
1187,1,360610076001,0,1,14,187.113081357999990,40.146527456199998,0.039011087847700,1.629971252960000
1188,1,360610054001,0,1,4,186.768089046000000,39.524019014700002,0.044660713033800,1.629971252960000
1189,1,360610054003,0,1,5,186.674548096000000,39.355066873299997,0.010435275679600,1.629971252960000
